愛,アイ
自,ジ
辞,ジ
爺さん,ジイサン
直,ジカ
時間,ジカン
じき,ジキ
時機,ジキ
事件,ジケン
事故,ジコ
辞職,ジショク
自身,ジシン
事実,ジジツ
事情,ジジョウ
自席,ジセキ
時節,ジセツ
時代,ジダイ
実,ジツ
実業,ジツギョウ
自転車,ジテンシャ
自伝,ジデン
時半,ジハン
辞表,ジヒョウ
字引,ジビキ
持病,ジビョウ
時分,ジブン
自分,ジブン
自分勝手,ジブンガッテ
自慢,ジマン
事務,ジム
地面,ジメン
弱,ジャク
邪推,ジャスイ
邪魔,ジャマ
じゅう,ジュウ
十,ジュウ
重,ジュウ
重々,ジュウジュウ
柔術,ジュウジュツ
従前,ジュウゼン
重大,ジュウダイ
充分,ジュウブン
十分,ジュウブン
縦覧,ジュウラン
授業,ジュギョウ
熟,ジュク
熟練,ジュクレン
豎子,ジュシ
術,ジュツ
順,ジュン
巡査,ジュンサ
順々,ジュンジュン
純粋,ジュンスイ
順当,ジュントウ
淳朴,ジュンボク
順良,ジュンリョウ
自由,ジユウ
自由自在,ジユウジザイ
上,ジョウ
場,ジョウ
情,ジョウ
条,ジョウ
畳,ジョウ
錠,ジョウ
城下,ジョウカ
上下,ジョウゲ
常識,ジョウシキ
情実,ジョウジツ
上手,ジョウズ
饒舌,ジョウゼツ
上層,ジョウソウ
状態,ジョウタイ
上代,ジョウダイ
冗談,ジョウダン
上等,ジョウトウ
場内,ジョウナイ
上品,ジョウヒン
丈夫,ジョウブ
上部,ジョウブ
情報,ジョウホウ
錠前,ジョウマエ
城屋,ジョウヤ
剰余,ジョウヨ
条理,ジョウリ
上流,ジョウリュウ
女子,ジョシ
女中,ジョチュウ
辞令,ジレイ
人,ジン
人家,ジンカ
尋常,ジンジョウ
迅速,ジンソク
陣羽織,ジンバオリ
人物,ジンブツ
人望,ジンボウ
尽力,ジンリョク
す,ス
推察,スイサツ
水晶,スイショウ
衰弱,スイジャク
水底,スイテイ
数学,スウガク
数奇,スウキ
すか,スカ
姿,スガタ
すき,スキ
好き,スキ
透き,スキ
好き嫌い,スキキライ
透綾,スキヤ
杉,スギ
過ぎ,スギ
宿世,スクセ
筋,スジ
煤,スス
鈴,スズ
硯,スズリ
鼈,スッポン
素敵,ステキ
ステッキ,ステッキ
素通り,スドオリ
砂,スナ
素肌,スハダ
澄し,スマシ
墨,スミ
済,スミ
隅,スミ
住田,スミタ
角屋,スミヤ
相撲,スモウ
相撲取,スモウトリ
寸,スン
随意,ズイイ
随行,ズイコウ
